bgg_id,name,overall_rank,community,profile_dimension,manual_label,community_type,include_in_user_profiles
421006,The Lord of the Rings: Duel for Middle-earth,20,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
295770,Frosthaven,21,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
246900,Eclipse: Second Dawn for the Galaxy,22,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
28720,Brass: Lancashire,23,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
173346,7 Wonders Duel,24,33,other,,tiny_fragment,no
167355,Nemesis,25,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
169786,Scythe,26,3,other,Thematic sandbox worker-placement bridge,bridge_cluster,no
177736,A Feast for Odin,27,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
266507,Clank! Legacy: Acquisitions Incorporated,28,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
124361,Concordia,29,22,other,Trade-route / area-influence euros,bridge_cluster,no
312484,Lost Ruins of Arnak,30,1,other,Thematic adventure / licensed bridge cluster,bridge_cluster,review
341169,Great Western Trail: Second Edition,31,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
205637,Arkham Horror: The Card Game,32,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
373106,Sky Team,33,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
237182,Root,34,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
120677,Terra Mystica,35,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
164928,Orléans,36,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
192135,Too Many Bones,37,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
266192,Wingspan,38,34,other,Licensed family/fandom games,franchise_series,no
96848,Mage Knight Board Game,39,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
251247,Barrage,40,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
321608,Hegemony: Lead Your Class to Victory,41,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
199792,Everdell,42,23,other,Fantasy adventure / deck-building gateway,taste_cross_over,review
324856,The Crew: Mission Deep Sea,43,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
183394,Viticulture Essential Edition,44,21,other,Viticulture / Dinosaur Island gateway bridge,bridge_cluster,no
284378,Kanban EV,45,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
521,Crokinole,46,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
366013,Heat: Pedal to the Metal,47,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
285774,Marvel Champions: The Card Game,48,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
175914,Food Chain Magnate,49,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
247763,Underwater Cities,50,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
390092,Ticket to Ride Legacy: Legends of the West,51,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
365717,Clank!: Catacombs,52,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
256960,Pax Pamir: Second Edition,53,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
253344,Cthulhu: Death May Die,54,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
3076,Puerto Rico,55,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
383179,Age of Innovation,56,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
414317,Harmonies,57,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
184267,On Mars,58,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
314040,Pandemic Legacy: Season 0,59,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
295947,Cascadia,60,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
185343,Anachrony,61,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
102794,Caverna: The Cave Farmers,62,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
251661,Oathsworn: Into the Deepwood,63,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
31260,Agricola,64,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
170216,Blood Rage,65,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
231733,Obsession,66,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
182874,Grand Austria Hotel,67,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
240980,Blood on the Clocktower,68,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
161533,Lisboa,69,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
221107,Pandemic Legacy: Season 2,70,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
255984,Sleeping Gods,71,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
371942,The White Castle,72,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
126163,Tzolk'in: The Mayan Calendar,73,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
2651,Power Grid,74,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
205059,Mansions of Madness: Second Edition,75,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
216132,Clans of Caledonia,76,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
380607,Great Western Trail: New Zealand,77,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
244521,Quacks,78,6,other,,tiny_fragment,no
266810,Paladins of the West Kingdom,79,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
35677,Le Havre,80,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
125153,The Gallerist,81,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
124742,Android: Netrunner,82,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
164153,Star Wars: Imperial Assault,83,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
367966,Endeavor: Deep Sea,84,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
200680,Agricola (Revised Edition),85,7,other,,tiny_fragment,no
337627,Voidfall,86,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
276025,Maracaibo,87,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
366161,Wingspan Asia,88,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
322289,Darwin's Journey,89,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
209010,Mechs vs. Minions,90,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
332772,Revive,91,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
284083,The Crew: The Quest for Planet Nine,92,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
28143,Race for the Galaxy,93,27,other,Race for the Galaxy system cluster,franchise_series,no
55690,Kingdom Death: Monster,94,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
157354,Five Tribes: The Djinns of Naqala,95,32,other,Open-drafting tactical euro cluster,bridge_cluster,review
230802,Azul,96,14,other,Abstract tile-placement puzzle bridge,bridge_cluster,review
277659,Final Girl,97,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
201808,Clank!: A Deck-Building Adventure,98,23,other,Fantasy adventure / deck-building gateway,taste_cross_over,review
159675,Fields of Arle,99,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
93,El Grande,100,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
413246,Bomb Busters,101,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
72125,Eclipse: New Dawn for the Galaxy,102,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
359871,Arcs,103,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
256916,Concordia Venus,104,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
291453,SCOUT,105,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
110327,Lords of Waterdeep,106,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
191189,Aeon's End,107,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
436217,The Lord of the Rings: Fate of the Fellowship,108,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
229853,Teotihuacan: City of Gods,109,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
359609,Arkham Horror: The Card Game (Revised Core Set),110,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
317985,Beyond the Sun,111,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
364073,Splendor Duel,112,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
62219,Dominant Species,113,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
279537,The Search for Planet X,114,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
12,Ra,115,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
68448,7 Wonders,116,30,other,,tiny_fragment,no
225694,Decrypto,117,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
25613,Through the Ages: A Story of Civilization,118,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
121921,Robinson Crusoe: Adventures on the Cursed Island,119,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
171623,The Voyages of Marco Polo,120,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
163068,Trickerion: Legends of Illusion,121,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
217372,The Quest for El Dorado,122,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
410201,Wyrmspan,123,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
155821,Inis,124,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
37111,Battlestar Galactica: The Board Game,125,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
391137,Galactic Cruise,126,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
310873,Carnegie,127,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
271055,Dwellings of Eldervale,128,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
310100,Nemesis: Lockdown,129,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
236457,Architects of the West Kingdom,130,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
42,Tigris & Euphrates,131,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
40834,Dominion: Intrigue,132,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
122515,Keyflower,133,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
170042,Raiders of the North Sea,134,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
227935,Wonderland's War,135,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
264220,Tainted Grail: The Fall of Avalon,136,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
146021,Eldritch Horror,137,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
18602,Caylus,138,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
4098,Age of Steam,139,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
73439,Troyes,140,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
203993,Lorenzo il Magnifico,141,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
269385,The Lord of the Rings: Journeys in Middle-Earth,142,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
396790,Nucleum,143,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
172386,Mombasa,144,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
36218,Dominion,145,15,other,Deck-manipulation / engine gateway cluster,bridge_cluster,review
163412,Patchwork,146,31,other,Railroad Ink / spatial puzzle cluster,franchise_series,no
43015,Hansa Teutonica,147,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
102680,Trajan,148,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
218417,Aeon's End: War Eternal,149,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
12493,Twilight Imperium: Third Edition,150,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
144733,Russian Railroads,151,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
391163,Forest Shuffle,152,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
205896,Rising Sun,153,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
175640,Vinhos: Deluxe Edition,154,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
196340,Yokohama,155,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
254640,Just One,156,28,other,Real-time cooperative micro-cluster,taste_cross_over,review
175155,Forbidden Stars,157,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
325494,ISS Vanguard,158,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
429293,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game,159,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
198928,Iberia,160,26,other,Pandemic system cluster,franchise_series,no
178900,Codenames,161,37,other,Escape-room / Unlock series cluster,franchise_series,no
233371,Clank! In! Space!: A Deck-Building Adventure,162,23,other,Fantasy adventure / deck-building gateway,taste_cross_over,review
180263,The 7th Continent,163,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
189932,Tyrants of the Underdark,164,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
172287,Champions of Midgard,165,23,other,Fantasy adventure / deck-building gateway,taste_cross_over,review
220877,Rajas of the Ganges,166,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
463,Magic: The Gathering,167,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
258779,Planet Unknown,168,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
304783,Hadrian's Wall,169,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
30549,Pandemic,170,26,other,Pandemic system cluster,franchise_series,no
132531,Roll for the Galaxy,171,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
235802,Too Many Bones: Undertow,172,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
118048,Targi,173,17,roll_and_write_number_dice_games,Roll-and-write / number dice games,taste_cross_over,yes
147020,Star Realms,174,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
266524,PARKS,175,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
209418,Dominion: Second Edition,176,7,other,,tiny_fragment,no
161970,Alchemists,177,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
14996,Ticket to Ride: Europe,178,41,other,Ticket to Ride / route-building series cluster,franchise_series,no
263918,Cartographers,179,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
268864,Undaunted: Normandy,180,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
249259,War Chest,181,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
262712,Res Arcana,182,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
358661,Andromeda's Edge,183,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
271324,It's a Wonderful World,184,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
77423,The Lord of the Rings: The Card Game,185,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
274364,Watergate,186,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
400602,Civolution,187,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
34635,Stone Age,188,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
328871,Terraforming Mars: Ares Expedition,189,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
148949,Istanbul,190,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
294484,Unmatched: Cobble & Fog,191,16,other,Unmatched / skirmish series cluster,franchise_series,no
308765,Praga Caput Regni,192,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
281259,The Isle of Cats,193,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
271896,Star Wars: Outer Rim,194,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
82222,Xia: Legends of a Drift System,195,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
296151,Viscounts of the West Kingdom,196,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
146652,Legendary Encounters: An Alien Deck Building Game,197,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
364011,Great Western Trail: Argentina,198,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
127023,Kemet,199,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,200,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
54043,Jaipur,201,29,other,Small two-player/set-collection card games,bridge_cluster,review
283948,Marco Polo II: In the Service of the Khan,202,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
103885,Star Wars: X-Wing Miniatures Game,203,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
265188,Glen More II: Chronicles,204,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
244522,That's Pretty Clever!,205,17,roll_and_write_number_dice_games,Roll-and-write / number dice games,taste_cross_over,yes
233398,Endeavor: Age of Sail,206,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
316377,7 Wonders (Second Edition),207,7,other,,tiny_fragment,no
329082,Radlands,208,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
350184,Earth,209,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
233867,Welcome To...,210,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
283355,Dune,211,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
339789,Welcome to the Moon,212,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
188920,This War of Mine: The Board Game,213,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
420033,Vantage,214,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
43111,Chaos in the Old World,215,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
314491,Meadow,216,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
332686,John Company: Second Edition,217,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
9609,War of the Ring,218,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
10630,Memoir '44,219,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
374173,Star Wars: The Deckbuilding Game,220,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
118,Modern Art,221,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
227224,The Red Cathedral,222,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
199561,Sagrada,223,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
242302,Space Base,224,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
256680,Return to Dark Tower,225,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
104162,Descent: Journeys in the Dark (Second Edition),226,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
342070,Thunder Road: Vendetta,227,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
39463,Cosmic Encounter,228,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
25021,Sekigahara: The Unification of Japan,229,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
299659,Clash of Cultures: Monumental Edition,230,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
416851,Castle Combo,231,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
155426,Castles of Mad King Ludwig,232,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
356080,The Elder Scrolls: Betrayal of the Second Era,233,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
300531,Paleo,234,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
188,Go,235,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
128882,The Resistance: Avalon,236,25,party_family_social_deduction,Party / family / social deduction,taste_cross_over,yes
103343,A Game of Thrones: The Board Game (Second Edition),237,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
31627,Ticket to Ride: Nordic Countries,238,41,other,Ticket to Ride / route-building series cluster,franchise_series,no
822,Carcassonne,239,38,other,Racing / sports / route bridge,bridge_cluster,review
287954,Azul: Summer Pavilion,240,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
282524,Horrified,241,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
17133,Railways of the World,242,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
148228,Splendor,243,36,other,Light set-collection gateway,bridge_cluster,review
70149,Ora et Labora,244,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
171131,Captain Sonar,245,25,party_family_social_deduction,Party / family / social deduction,taste_cross_over,yes
104006,Village,246,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
123260,Suburbia,247,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
215,Tichu,248,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
269207,The Taverns of Tiefenthal,249,17,roll_and_write_number_dice_games,Roll-and-write / number dice games,taste_cross_over,yes
14105,Commands & Colors: Ancients,250,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
150376,Dead of Winter: A Crossroads Game,251,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
285967,Ankh: Gods of Egypt,252,5,other,Area-control crossover / Root-Eclipse cluster,bridge_cluster,review
241451,Aeon's End: Legacy,253,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
293014,Nidavellir,254,13,puzzle_nature_tableau_builders,Puzzle / nature tableau builders,taste_cross_over,yes
385761,Faraway,255,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
9209,Ticket to Ride,256,18,other,Mass-market gateway / family strategy bridge,bridge_cluster,review
165722,KLASK,257,35,cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,taste_cross_over,yes
7854,YINSH,258,10,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,yes
367220,Sea Salt & Paper,259,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
182631,Star Realms: Colony Wars,260,33,other,,tiny_fragment,no
